...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
ကရိုဏ်း	က ရိုဏ်း	ka- rain:
ကရုဏာ	က ရု ဏာ	ga- ju. na
ကရုဏာ	က ရု ဏာ	ka- ru. na
ကရုဏာကြေး	က ရု ဏာ ကြေး	ga- ju. na gyei:
ကရုဏာဒေါသော	က ရု ဏာ ဒေါ သော	ga- ju. na do: dho:
ကရုဏာရသ	က ရု ဏာ ရ သ	ga- ju. na ra. tha.
ကရုဏာသက်	က ရု ဏာ သက်	ga- ju. na the'
ကရူဇာ	က ရူ ဇာ	ka- ru za
ကရောသောပါး	က ရော သော ပါး	ga- jo: tho: ba:
ကရော့	က ရော့	ka- jo.
ကရော်ကမည်	က ရော် က မည်	ka- jo ka- me
ကရွတ်	က ရွတ်	ka- ju'
ကရွတ်ကင်းလျှောက်	က ရွတ် ကင်း လျှောက်	ka- ju' kin: shau'
ကလတက်	က လ တက်	ka- la- de'
ကလနား	က လ နား	ka- la- na:
ကလနံ	က လ နံ	ka- la- nan
ကလမောင်း	က လ မောင်း	ka- la- maun:
ကလလရည်ကြည်	က လ လ ရည် ကြည်	ka- la- la. jei gyi
ကလအော်	က လ အော်	ka- la- o
ကလက်	က လက်	ka- le'
ကလက်တက်တက်	က လက် တက် တက်	ka- le' te' te'
ကလစ်	က လစ်	ka- li'
ကလန်	က လန်	ka- lan
ကလန်ကဆန်	က လန် က ဆန်	ga- lan ga- hsan
ကလန်ကဆန်ပြော	က လန် က ဆန် ပြော	ga- lan ga- hsan pjo:
ကလန်ကလား	က လန် က လား	ga- lan ga- la:
ကလပ်	က လပ်	ka- la'
ကလပ်ကြိုး	က လပ် ကြိုး	ka- la' kyou:
ကလပ်ကြီးကြိုး	က လပ် ကြီး ကြိုး	ka- la' kyi: kyou:
ကလပ်ငယ်ကြိုး	က လပ် ငယ် ကြိုး	ka- la' nge kyou:
ကလယ်ကလယ်ဖြစ်	က လယ် က လယ် ဖြစ်	ka- le ka- le hpji'
ကလာပ်စည်း	က လာပ် စည်း	ka- la' si:
ကလိ	က လိ	ka- li.
ကလိထိုး	က လိ ထိုး	ga- li. htou:
ကလိယုဂ်	က လိ ယုဂ်	ka- li. jou'
ကလိန်းကလက်	က လိန်း က လက်	ka- lein: ka- le'
ကလိမ်	က လိမ်	ka- lein
ကလိမ်ကလည်လုပ်	က လိမ် က လည် လုပ်	ka- lein ka- le lou'
ကလိမ်ကျ	က လိမ် ကျ	ka- lein kya.
ကလိမ်ချုံ	က လိမ် ချုံ	ka- lein gyoun
ကလိမ်စေ့ငြမ်းဆင်	က လိမ် စေ့ ငြမ်း ဆင်	ka- lein zei. njan: hsin
ကလိမ်စေ့ငြမ်းဆင်	က လိမ် စေ့ ငြမ်း ဆင်	ka- lein zi. njan: hsin
ကလိမ်ဉာဏ်	က လိမ် ဉာဏ်	ka- lein njan
ကလိုင်	က လိုင်	ga- lain
ကလီကမာလုပ်	က လီ က မာ လုပ်	ka- li ka- ma lou'
ကလီစာ	က လီ စာ	ka- li za
ကလေကချေ	က လေ က ချေ	ga- lei ga- chei
ကလေကလွင့်	က လေ က လွင့်	ka- lei ka- lwin.
ကလေကဝ	က လေ က ဝ	ka- lei ka- wa.
ကလောင်	က လောင်	ka- laun
ကလောင်တံ	က လောင် တံ	ka- laun dan
ကလောင်နာမည်	က လောင် နာ မည်	ka- laun na me
ကလောင်ရှင်	က လောင် ရှင်	ka- laun shin
ကလောင်သွား	က လောင် သွား	ka- laun dhwa:
ကလော်	က လော်	ka- lo
ကလော်ဆဲ	က လော် ဆဲ	ka- lo hse:
ကလော်တုတ်	က လော် တုတ်	ka- lo tou'
ကလေး	က လေး	ka- lei:
ကလေး	က လေး	kha- lei:
ကလေးကလား	က လေး က လား	ka- lei: ka- la:
ကလေးစာပေ	က လေး စာ ပေ	kha- lei: sa pei
ကလေးစိတ်	က လေး စိတ်	kha- lei: zei'
ကလေးပျက်	က လေး ပျက်	kha- lei: pje'
ကလေးဖျက်	က လေး ဖျက်	kha- lei: hpje'
ကလေးရှိ	က လေး ရှိ	kha- lei: shi.
ကလေးလက်တွန်းလှည်း	က လေး လက် တွန်း လှည်း	kha- lei: le' tun: lhe:
ကလေးသူငယ်	က လေး သူ ငယ်	kha- lei: tha- nge
ကလဲ့	က လဲ့	ga- le.
ကလဲ့စားချေ	က လဲ့ စား ချေ	ga- le. za: chei
ကလျာ	က လျာ	ka- lja
ကလွန်တောင်	က လွန် တောင်	ka- lun daun
ကဝိ	က ဝိ	ka- wi.
ကဝိန်	က ဝိန်	ka- wein
ကဝေ	က ဝေ	ka- wei
ကသပေါင်း	က သ ပေါင်း	ka. dha- baun:
ကသဖိုး	က သ ဖိုး	ka. dha- bou:
ကသစ်	က သစ်	ka- thi'
ကသည်း	က သည်း	ka- the:
ကသယ်	က သယ်	ka- the
ကသိကအောက်ဖြစ်	က သိ က အောက် ဖြစ်	ka thi. ka- au' hpji'
ကသိုဏ်း	က သိုဏ်း	ka- thain:
ကသိုဏ်းရှု	က သိုဏ်း ရှု	ka- thain: shu.
ကသိုဏ်းဝန်း	က သိုဏ်း ဝန်း	ka- thain: wun:
ကသီ	က သီ	ka- thi
ကသီကရီ	က သီ က ရီ	ka- thi ga- ji
ကသီလင်တ	က သီ လင် တ	ka- thi lin da.
ကသုတ်ကရက်	က သုတ် က ရက်	ka- thou' ka- je'
ကသောကမျော	က သော က မျော	ka- tho: ga- mjo:
ကသောင်းကနင်း	က သောင်း က နင်း	ka- thaun: ga- nin:
ကသောင်းမြောင်တိုက်	က သောင်း မြောင် တိုက်	ka- thaun: mjaun dai'
ကဿပ	က ဿ ပ	ka' tha- hpa
ကဿပ	က ဿ ပ	ka' tha- pa.
ကက္ကရာ	ကက် က ရာ	ke' ka- ra.
ကက္ကရု	ကက် က ရု	ke' ka- ru.
ကက်ကက်လန်	ကက် ကက် လန်	ke' ke' lan
ကက်ကင်းဓာတ်	ကက် ကင်း ဓာတ်	ke' kin: da'
ကက္ကုကမျဉ်း	ကက် ကု က မျဉ်း	ke' ku. ka- mjin:
ကက္ကုဆူး	ကက် ကု ဆူး	ke' ga- zu:
ကက္ကုဆူး	ကက် ကု ဆူး	ke' ku. zu:
ကက်ကော်တကန်	ကက် ကော် တ ကန်	ke' ko da- gan
ကက်ဆက်	ကက် ဆက်	ke' hse'
ကက်ဆွဲ	ကက် ဆွဲ	ke' hswe:
ကက်တလောက်	ကက် တ လောက်	ke' ta- lau'
ကက်ပတိန်	ကက် ပ တိန်	ke' pa- tein
ကက်ပေါင်	ကက် ပေါင်	ke' baun
ကက်ဗိနက်	ကက် ဗိ နက်	ke' bi. nei'
ကက်ရိုက်	ကက် ရိုက်	ke' jai'
ကက်သလစ်	ကက် သ လစ်	ke' tha- li'
ကက်အိမ်	ကက် အိမ်	ke' ein
ကင်္ကာ	ကင် ကာ	kin ga
ကင်ဆာ	ကင် ဆာ	kin hsa
ကင်ညှပ်	ကင် ညှပ်	kin njha'
ကင်ပလင်း	ကင် ပ လင်း	kin ba- lin:
ကင်ပိမ့်	ကင် ပိမ့်	kin bein.
ကင်ပေတိုင်	ကင် ပေ တိုင်	kin pei tain
ကင်ပျစ်	ကင် ပျစ်	kin bji'
ကင်ပွန်း	ကင် ပွန်း	kin bun:
ကင်ပွန်း	ကင် ပွန်း	kin mun:
ကင်ပွန်းတပ်	ကင် ပွန်း တပ်	ka- mun: da'
ကင်ပွန်းတပ်	ကင် ပွန်း တပ်	kin bun: ta'
ကင်ပွန်းတပ်	ကင် ပွန်း တပ်	kin mun ta'
ကင်မရာ	ကင် မ ရာ	kin ma- ra
ကင်းကွာ	ကင်း ကွာ	kin: kwa
ကင်းခြေများ	ကင်း ခြေ များ	kin: chi mja:
ကင်းငြိမ်း	ကင်း ငြိမ်း	kin: njein:
ကင်းစင်	ကင်း စင်	kin: sin
ကင်းစမ်းထိုး	ကင်း စမ်း ထိုး	kin: zan: htou:
ကင်းစမ်းလေ	ကင်း စမ်း လေ	kin: zan: lei
ကင်းစီး	ကင်း စီး	kin: si:
ကင်းစုန်း	ကင်း စုန်း	kin: zoun:
ကင်းစောင့်	ကင်း စောင့်	kin: saun.
ကင်းစောင့်	ကင်း စောင့်	kin: zaun.
ကင်းတို	ကင်း တို	kin: dou
ကင်းတဲ	ကင်း တဲ	kin: de:
ကင်းထောက်	ကင်း ထောက်	kin: htau'
ကင်းထောက်လေယာဉ်	ကင်း ထောက် လေ ယာဉ်	kin: dau' lei jin
ကင်းနားသန်	ကင်း နား သန်	kin: na- than
ကင်းပ	ကင်း ပ	kin: pa.
ကင်းပုစွန်	ကင်း ပု စွန်	kin: ba- zun
ကင်းပုန်း	ကင်း ပုန်း	kin: boun:
ကင်းပုံ	ကင်း ပုံ	kin: boun
ကင်းဗတ်	ကင်း ဗတ်	kin: ba'
ကင်းမလက်မည်း	ကင်း မ လက် မည်း	kin: ma. le' me:
ကင်းမြီးကောက်	ကင်း မြီး ကောက်	kin: mi: gau'
ကင်းမြီးကောက်ထောင်	ကင်း မြီး ကောက် ထောင်	kin: mi: gau' htaun
ကင်းမွန်	ကင်း မွန်	kin: mun
ကင်းရှင်း	ကင်း ရှင်း	kin: shin:
ကင်းရှည်	ကင်း ရှည်	kin: shei
ကင်းလိပ်ချော	ကင်း လိပ် ချော	kin: lei' cho:
ကင်းလွတ်	ကင်း လွတ်	kin: lu'
ကင်းလွတ်ကုန်	ကင်း လွတ် ကုန်	kin: lu' koun
ကင်းလွတ်ခွင့်	ကင်း လွတ် ခွင့်	kin: lu' khwin.
ကင်းလှည့်	ကင်း လှည့်	kin: lhe.
ကင်းဝပ်	ကင်း ဝပ်	kin: wu'
ကင်းဝေး	ကင်း ဝေး	kin: wei:
ကင်းသမား	ကင်း သ မား	kin: dha- ma:
ကစ္စည်း	ကစ် စည်း	ki' si:
ကဏ္ဋကောစ	ကဏ် ဋ ကော စ	kan da- go: za.
ကဏ္ဌဇ	ကဏ် ဌ ဇ	kan hta- za
ကဏ္ဌဌာန်	ကဏ် ဌ ဌာန်	kan hta. htan
ကဏ္ဍ	ကဏ် ဍ	gan da.
ကဏ္ဍ	ကဏ် ဍ	kan da.
ကဏ္ဏသုခ	ကဏ် ဏ သု ခ	kan na. thu kha.
ကတ်ကတ်ကုတ်ကုတ်	ကတ် ကတ် ကုတ် ကုတ်	ka' ka' kou' kou'
ကတ်ကတ်သတ်သတ်	ကတ် ကတ် သတ် သတ်	ka' ka' tha' tha'
ကတ်ကြေး	ကတ် ကြေး	ka' kyi:
ကတ်ကြေးကိုက်	ကတ် ကြေး ကိုက်	ka' kyi: gai'
